id,tenant_id,employee_id,user_account,password_hash,user_name,email,phone,is_active,last_login_at,created_at,created_by,updated_at,updated_by
,NX99TANT0000002,,Y001,$2b$10$kgqkOwTo/kEKquFZFebJfucnCaEve7IaD7.Cawir5827AARvxk8.S,周棟堅,,,TRUE,,now,NX00USER0000001,now,NX00USER0000001
,NX99TANT0000002,,Y002,$2b$10$kgqkOwTo/kEKquFZFebJfucnCaEve7IaD7.Cawir5827AARvxk8.S,林柏蒼,,,TRUE,,now,NX00USER0000001,now,NX00USER0000001
,NX99TANT0000002,,Y003,$2b$10$kgqkOwTo/kEKquFZFebJfucnCaEve7IaD7.Cawir5827AARvxk8.S,林漢堯,,,TRUE,,now,NX00USER0000001,now,NX00USER0000001
,NX99TANT0000002,,Y004,$2b$10$kgqkOwTo/kEKquFZFebJfucnCaEve7IaD7.Cawir5827AARvxk8.S,江嘉聖,,,TRUE,,now,NX00USER0000001,now,NX00USER0000001
,NX99TANT0000002,,Y005,$2b$10$kgqkOwTo/kEKquFZFebJfucnCaEve7IaD7.Cawir5827AARvxk8.S,陳義隆,,,TRUE,,now,NX00USER0000001,now,NX00USER0000001
,NX99TANT0000002,,Y006,$2b$10$kgqkOwTo/kEKquFZFebJfucnCaEve7IaD7.Cawir5827AARvxk8.S,郭耀忠,,,FALSE,,now,NX00USER0000001,now,NX00USER0000001
,NX99TANT0000002,,Y007,$2b$10$kgqkOwTo/kEKquFZFebJfucnCaEve7IaD7.Cawir5827AARvxk8.S,張至郁,,,TRUE,,now,NX00USER0000001,now,NX00USER0000001
,NX99TANT0000002,,Y008,$2b$10$kgqkOwTo/kEKquFZFebJfucnCaEve7IaD7.Cawir5827AARvxk8.S,邱昭期,,,FALSE,,now,NX00USER0000001,now,NX00USER0000001
,NX99TANT0000002,,Y009,$2b$10$kgqkOwTo/kEKquFZFebJfucnCaEve7IaD7.Cawir5827AARvxk8.S,林家民,,,FALSE,,now,NX00USER0000001,now,NX00USER0000001
,NX99TANT0000002,,Y010,$2b$10$kgqkOwTo/kEKquFZFebJfucnCaEve7IaD7.Cawir5827AARvxk8.S,曾衍鈞,,,TRUE,,now,NX00USER0000001,now,NX00USER0000001
,NX99TANT0000002,,Y011,$2b$10$kgqkOwTo/kEKquFZFebJfucnCaEve7IaD7.Cawir5827AARvxk8.S,張世瑾,,,FALSE,,now,NX00USER0000001,now,NX00USER0000001
,NX99TANT0000002,,Y012,$2b$10$kgqkOwTo/kEKquFZFebJfucnCaEve7IaD7.Cawir5827AARvxk8.S,林志偉,,,FALSE,,now,NX00USER0000001,now,NX00USER0000001
,NX99TANT0000002,,Y013,$2b$10$kgqkOwTo/kEKquFZFebJfucnCaEve7IaD7.Cawir5827AARvxk8.S,廖君統,,,FALSE,,now,NX00USER0000001,now,NX00USER0000001
,NX99TANT0000002,,Y014,$2b$10$kgqkOwTo/kEKquFZFebJfucnCaEve7IaD7.Cawir5827AARvxk8.S,周文玄,,,FALSE,,now,NX00USER0000001,now,NX00USER0000001
,NX99TANT0000002,,Y015,$2b$10$kgqkOwTo/kEKquFZFebJfucnCaEve7IaD7.Cawir5827AARvxk8.S,林志賢,,,FALSE,,now,NX00USER0000001,now,NX00USER0000001
,NX99TANT0000002,,Y016,$2b$10$kgqkOwTo/kEKquFZFebJfucnCaEve7IaD7.Cawir5827AARvxk8.S,劉伯偉,,,TRUE,,now,NX00USER0000001,now,NX00USER0000001
,NX99TANT0000002,,Y017,$2b$10$kgqkOwTo/kEKquFZFebJfucnCaEve7IaD7.Cawir5827AARvxk8.S,楊哲綸,,,FALSE,,now,NX00USER0000001,now,NX00USER0000001
,NX99TANT0000002,,Y018,$2b$10$kgqkOwTo/kEKquFZFebJfucnCaEve7IaD7.Cawir5827AARvxk8.S,李奕勳,,,FALSE,,now,NX00USER0000001,now,NX00USER0000001
,NX99TANT0000002,,Y019,$2b$10$kgqkOwTo/kEKquFZFebJfucnCaEve7IaD7.Cawir5827AARvxk8.S,陳文財,,,FALSE,,now,NX00USER0000001,now,NX00USER0000001
,NX99TANT0000002,,Y020,$2b$10$kgqkOwTo/kEKquFZFebJfucnCaEve7IaD7.Cawir5827AARvxk8.S,曾泰德,,,TRUE,,now,NX00USER0000001,now,NX00USER0000001
,NX99TANT0000002,,Y021,$2b$10$kgqkOwTo/kEKquFZFebJfucnCaEve7IaD7.Cawir5827AARvxk8.S,葉佳雯,,,FALSE,,now,NX00USER0000001,now,NX00USER0000001
,NX99TANT0000002,,Y022,$2b$10$kgqkOwTo/kEKquFZFebJfucnCaEve7IaD7.Cawir5827AARvxk8.S,劉忠智,,,FALSE,,now,NX00USER0000001,now,NX00USER0000001
,NX99TANT0000002,,Y023,$2b$10$kgqkOwTo/kEKquFZFebJfucnCaEve7IaD7.Cawir5827AARvxk8.S,蔡雅嵐,,,FALSE,,now,NX00USER0000001,now,NX00USER0000001
,NX99TANT0000002,,Y024,$2b$10$kgqkOwTo/kEKquFZFebJfucnCaEve7IaD7.Cawir5827AARvxk8.S,程峰偉,,,FALSE,,now,NX00USER0000001,now,NX00USER0000001
,NX99TANT0000002,,Y025,$2b$10$kgqkOwTo/kEKquFZFebJfucnCaEve7IaD7.Cawir5827AARvxk8.S,簡瑞松,,,FALSE,,now,NX00USER0000001,now,NX00USER0000001
,NX99TANT0000002,,Y026,$2b$10$kgqkOwTo/kEKquFZFebJfucnCaEve7IaD7.Cawir5827AARvxk8.S,柯信全,,,FALSE,,now,NX00USER0000001,now,NX00USER0000001
,NX99TANT0000002,,Y027,$2b$10$kgqkOwTo/kEKquFZFebJfucnCaEve7IaD7.Cawir5827AARvxk8.S,林子鈞,,,FALSE,,now,NX00USER0000001,now,NX00USER0000001
,NX99TANT0000002,,Y028,$2b$10$kgqkOwTo/kEKquFZFebJfucnCaEve7IaD7.Cawir5827AARvxk8.S,鍾銘誠,,,TRUE,,now,NX00USER0000001,now,NX00USER0000001
,NX99TANT0000002,,Y029,$2b$10$kgqkOwTo/kEKquFZFebJfucnCaEve7IaD7.Cawir5827AARvxk8.S,劉建宏,,,TRUE,,now,NX00USER0000001,now,NX00USER0000001
